,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,disable_communication,country,currency,goal,deadline,created_at
167,256,0.0056234132519034,512,SUBTAB,111990016.0,111991042,0.9939405,0.5017848428349027,0.5,,,,,,
168,256,0.01,256,CONTROL,,110473986,,,0.5,,,,,,
169,256,0.01,256,SCARF,111383168.0,111383554,0.9572067,0.5214157473240966,0.5,,,,,,
170,256,0.01,512,CLIP,110677761.0,113038594,0.67772263,0.5231913600495302,0.5,0.8389830508474576,1.0,1.0,2.9207444640631702e-06,0.0009719118243083,0.0008387060370296
171,256,0.01,512,CONTROL,,113038594,,,0.5,,,,,,
172,256,0.01,512,GMC,224240640.0,113563906,0.7184235,0.520641719810797,0.5,0.5,0.2,0.2,2.871379365387583e-07,0.0134267844259738,0.0163934361189603
173,256,0.01,512,ICEH,111465729.0,113826562,0.56908274,0.5295729157347806,0.5,0.5,0.2,0.2,4.997519909011269e-07,0.0773758068680763,0.0913025289773941
174,256,0.01,512,MCN,110681856.0,113038594,0.95461315,0.5456755517120433,0.5,0.5,0.2,0.2,2.3273454985422122e-07,0.0856100991368293,0.0913025289773941
175,256,0.01,512,SCARF,111481984.0,111613954,0.66661674,0.5251897970843267,0.5,,,,,,
176,256,0.01,512,SUBTAB,111990016.0,111991042,0.7302403,0.5212743373136406,0.5,,,,,,
