,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,climbRate,Sgz,p,q,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SaTime1,SaTime2,SaTime3,SaTime4,diffSaTime1,diffSaTime3,Sa
159,1024,0.003,64,SCARF,138368.0,134273,0.22679572,3.5703957e-05,0.00028764698,,,,,,,,,,,,,,,,
160,1024,0.003,64,SUBTAB,101504.0,134273,0.33447543,3.8808128e-05,3.6154197e-05,,,,,,,,,,,,,,,,
161,1024,0.003,128,CLIP,268289.0,530689,0.5297737,4.3931137e-05,9.322411e-05,242968.046875,1561.5989990234375,0.2032001465559005,0.0035580189432948,1.0053144693374634,6.089622497558594,186.5833282470703,8.054402132984251e-05,2.722421407699585,5.229402404438588e-07,7.785219509059971e-07,9.070597002391878e-07,7.380817237390147e-07,1.386320747087666e-07,8.97012526479557e-08,7.4443397579671e-07
162,1024,0.003,128,CONTROL,,530689,,,7.627689e-05,,,,,,,,,,,,,,,,
163,1024,0.003,128,GMC,831872.0,563713,0.41197804,3.7259113e-05,0.00093089987,70744.4765625,742.224853515625,0.1063166707754135,0.0122709115967154,0.726635217666626,17.704402923583984,67.24214172363281,0.0001529056607978,1.0913994312286377,5.612263862531108e-07,4.53364833674641e-07,1.0822484455275116e-06,5.086635042061971e-07,3.8003143743026164e-08,1.988993680868134e-08,7.674843232052808e-07
164,1024,0.003,128,ICEH,317825.0,580225,0.30382815,3.863235e-05,3.5788795e-05,83909.9453125,1003.396240234375,0.224024549126625,0.0015328614972531,0.8493553400039673,23.397798538208008,71.95439910888672,0.0001119213775382,1.0598585605621338,2.160377334803343e-06,2.109936986016692e-06,2.278050260429154e-06,2.237641410829383e-06,5.0833328657518e-08,9.927673261245219e-08,2.359858171985252e-06
165,1024,0.003,128,MCN,281344.0,530689,0.2107884,3.629161e-05,8.464131e-05,392856.84375,1695.3192138671875,0.7139992117881775,0.0242929235100746,8.00130558013916,66.17924499511719,651.3364868164062,0.0021562387701123,2.025912046432495,9.791194770514269e-07,3.4672011679504067e-06,9.271068961425044e-07,1.9920282738894457e-06,1.0588050258775185e-07,1.0740567546463353e-07,3.2934904083958827e-06
166,1024,0.003,128,SCARF,547072.0,530689,0.45988086,4.477523e-05,0.0033939895,,,,,,,,,,,,,,,,
167,1024,0.003,128,SUBTAB,399616.0,530689,0.4703748,3.874748e-05,0.00027944267,,,,,,,,,,,,,,,,
168,1024,0.005,32,CLIP,17921.0,34369,0.5384326,4.30209e-05,3.5024168e-05,207983.609375,1564.13525390625,0.23908032476902,0.0029014151077717,1.0548900365829468,11.599056243896484,90.41194915771484,7.580189412692562e-05,2.33325457572937,9.517453349872084e-07,3.0242139814617985e-07,1.855660372029888e-07,5.036949346504116e-07,1.0544025741410225e-07,1.2511004854331986e-07,5.368081588130735e-07
169,1024,0.005,32,CONTROL,,34369,,,3.8546277e-05,,,,,,,,,,,,,,,,
170,1024,0.005,32,GMC,819488.0,305377,0.462491,3.7463185e-05,0.00057068246,72586.375,626.1886596679688,0.0974602177739143,0.0153638375923037,0.7994182109832764,17.11478042602539,80.39151000976562,0.0001515015756012,1.0847327709197998,4.830345687878435e-07,4.75220161888501e-07,3.876572520766786e-07,5.813521966047119e-07,4.0959115210625896e-08,5.550314430280423e-09,5.364307753552566e-07
171,1024,0.005,32,ICEH,305441.0,321889,0.57733506,2.7371312e-05,0.0009286984,688805.0625,5058.8916015625,0.5839188694953918,0.0008267295197583,1.0216667652130127,3.322327136993408,18.454402923583984,9.921068703988568e-05,0.5893396139144897,2.54503129326622e-06,1.6605031305516604e-06,1.4031288628757466e-06,1.1943867548325215e-06,9.690251800975602e-08,8.616352431545239e-08,1.1851415138153245e-06
172,1024,0.005,32,MCN,21184.0,34369,0.21432817,3.692708e-05,3.6481273e-05,89435.3515625,2741.0771484375,0.6731036305427551,0.0756133571267128,5.199984550476074,47.6053466796875,266.0927734375,0.0020932012703269,25.107250213623047,3.1742292776471004e-06,2.866430804715492e-06,2.141729737559217e-06,3.190109964634757e-06,1.438522048147206e-07,1.4988992802500436e-07,6.645598205068382e-07
173,1024,0.005,32,SCARF,35392.0,34369,0.25994027,3.7583854e-05,9.835769e-05,,,,,,,,,,,,,,,,
174,1024,0.005,32,SUBTAB,26176.0,34369,0.4915987,3.9341987e-05,4.930431e-05,,,,,,,,,,,,,,,,
175,1024,0.005,64,CLIP,68609.0,134273,0.5168881,4.22713e-05,3.727562e-05,247673.53125,1895.5078125,0.2333872616291046,0.0055591193959116,1.3235377073287964,9.70283031463623,105.13522338867188,8.223742042900994e-05,5.758302211761475,2.1039309672232773e-07,1.6242140077338263e-08,4.962735715707822e-07,7.299213962141948e-07,8.878931367917177e-08,8.907231574539766e-08,1.0863363968383055e-06
176,1024,0.005,64,CONTROL,,134273,,,5.113695e-05,,,,,,,,,,,,,,,,
177,1024,0.005,64,GMC,823616.0,358721,0.46373206,3.716935e-05,0.0011171384,68847.265625,571.6760864257812,0.0968372747302055,0.0113416658714413,0.7219496965408325,15.704402923583984,70.28302001953125,0.0001300062867812,1.031949758529663,7.179874046414625e-07,4.352830274001463e-07,6.813364734625793e-07,6.057074983800703e-07,3.952829885633946e-08,8.238993487452717e-09,4.4089622974752274e-07
178,1024,0.005,64,ICEH,309569.0,375233,0.45121083,2.5567395e-05,0.0008273474,82211.2421875,779.5267333984375,0.1928353756666183,0.0024693394079804,0.8094654083251953,4.602201461791992,22.24528312683105,0.0003073364787269,0.4662736058235168,2.5211791125911982e-06,2.228458981790027e-07,2.8816664325859165e-06,9.624685617382056e-07,7.787736677755674e-08,7.125785828066e-08,2.539968591008801e-06
179,1024,0.005,64,MCN,75136.0,134273,0.22343415,3.546633e-05,3.79105e-05,508584.90625,2571.42138671875,0.3882576823234558,0.0352282971143722,2.277735710144043,52.41352081298828,337.33648681640625,0.0009939606534317,6.762075901031494,3.2524526432098355e-06,3.5261637094663456e-06,1.7026571867972962e-06,6.138522508081223e-07,1.1089623086490975e-07,1.298427747542519e-07,1.03602201306785e-06
180,1024,0.005,64,SCARF,138368.0,134273,0.24123955,3.61122e-05,0.0010790493,,,,,,,,,,,,,,,,
181,1024,0.005,64,SUBTAB,101504.0,134273,0.30863652,3.8568203e-05,8.213235e-05,,,,,,,,,,,,,,,,
