,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
146,1024,0.002,128,SUBTAB,199936.0,265602,0.71089906,0.5740429440247626,0.803639648844696,,,,,,,,
147,1024,0.003,32,CLIP,8961.0,17250,0.7154494,0.7498488018722272,0.8028329457903061,6.545727729797363,140.375,1.6713690757751465,0.2503771483898163,1215076.25,0.6369383335113525,5.794807434082031,7.211581707000732
148,1024,0.003,32,CONTROL,,17250,,,0.8022713527442931,,,,,,,,
149,1024,0.003,32,GMC,420128.0,163074,0.7112978,0.5101960128771971,0.8058456389200885,8.912357330322266,205.625,2.9902734756469727,0.2473799139261245,4129756.5,0.5056540966033936,9.22415828704834,6.337414741516113
150,1024,0.003,32,ICEH,171297.0,179586,0.9818781,0.7576237664674483,0.8014336587693036,5.430418491363525,127.25,3.4800124168396,0.241563618183136,1669093.25,0.4180452227592468,9.830147743225098,9.249828338623049
151,1024,0.003,32,MCN,12224.0,17250,0.699713,0.7625964005454402,0.8030038654130056,11.988078117370604,614.75,4.748278617858887,0.2723640203475952,3237893.25,0.5219945907592773,21.079389572143555,10.812986373901367
152,1024,0.003,32,SCARF,18240.0,17250,0.68271714,0.5056966946774503,0.8020083994786013,,,,,,,,
153,1024,0.003,32,SUBTAB,13120.0,17250,0.71103525,0.5959084471858366,0.8068016618646392,,,,,,,,
154,1024,0.003,64,CLIP,34305.0,67266,0.71265954,0.7221419797375725,0.8049027636388224,4.715902328491211,195.4375,0.7220803499221802,0.0069639300927519,1043981.625,1.00665545463562,7.065876483917236,6.037926197052002
155,1024,0.003,64,CONTROL,,67266,,,0.8093185002648315,,,,,,,,
156,1024,0.003,64,GMC,424256.0,191874,0.7112291,0.4942375670061268,0.5615207338649998,7.473148822784424,411.25,2.2603073120117188,0.2867974936962127,4631210.0,0.5671484470367432,9.444055557250977,4.496175289154053
157,1024,0.003,64,ICEH,175425.0,208386,0.715039,0.7440722820962635,0.8111957987581093,6.626265525817871,127.3125,1.83518385887146,0.2510505020618438,3134244.5,1.0482922792434692,9.830147743225098,8.798734664916992
158,1024,0.003,64,MCN,40832.0,67266,0.7103883,0.6866245064930674,0.8041833986333944,10.751190185546877,361.0,10.493855476379396,0.2830451428890228,3237893.25,1.8607207536697388,7.286149978637695,10.812986373901367
159,1024,0.003,64,SCARF,71296.0,67266,0.833244,0.5353813010176292,0.7629429353848697,,,,,,,,
160,1024,0.003,64,SUBTAB,50816.0,67266,0.7106155,0.6211200306528378,0.8028592411168752,,,,,,,,
161,1024,0.003,128,CLIP,134145.0,265602,0.7088591,0.7828926361816181,0.8053150367946749,4.70737361907959,161.5,0.9639559984207152,0.0032088300213217,1326672.5,1.0111345052719116,10.76961898803711,7.42364501953125
162,1024,0.003,128,CONTROL,,265602,,,0.8028413978595603,,,,,,,,
163,1024,0.003,128,GMC,432512.0,298626,0.71123445,0.5041133403704636,0.805832491256804,7.653238296508789,525.0,2.204458236694336,0.2724949717521667,3842237.75,0.5478435754776001,7.1459503173828125,3.858696460723877
164,1024,0.003,128,ICEH,183681.0,315138,0.75280976,0.5574825229990196,0.8033194093318357,6.990550518035889,136.0625,3.424700736999512,0.2815851271152496,5423953.0,0.5675030946731567,8.899999618530273,12.326711654663086
165,1024,0.003,128,MCN,147200.0,265602,0.70731807,0.7199359896621802,0.8045167858095392,8.41838550567627,201.625,10.41856575012207,0.2796020209789276,3237893.25,1.4617302417755127,7.286149978637695,10.812986373901367
166,1024,0.003,128,SCARF,281856.0,265602,0.8834123,0.5214907947574632,0.8039204453677026,,,,,,,,
167,1024,0.003,128,SUBTAB,199936.0,265602,0.71090525,0.6383631910505734,0.7365912616873336,,,,,,,,
168,1024,0.005,32,CLIP,8961.0,17250,0.7045306,0.7452480588414279,0.8051262739146604,5.087920188903809,219.25,1.033308982849121,0.2509908974170685,1286677.0,0.9935601949691772,6.496457099914551,7.013307571411133
169,1024,0.005,32,CONTROL,,17250,,,0.8054333657642361,,,,,,,,
170,1024,0.005,32,GMC,420128.0,163074,0.71122754,0.4929152877272197,0.5,7.275537490844727,519.8125,2.7393953800201416,0.2703275084495544,4358945.0,0.5922141075134277,3.635486125946045,3.6234521865844727
