,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Recommended IND,Division Name,Department Name,Class Name,Age,Positive Feedback Count
51,128,0.001,256,GMC,223333120.0,111340549,0.3615724,0.3919449532593128,0.3266409266409266,0.5,0.3809523809523809,0.4545454545454546,0.3402777777777777,706.8444213867188,29.511110305786133
52,128,0.001,256,ICEH,111077377.0,111603205,0.90883225,0.33482833896595,0.3471409246690146,0.5401069518716578,0.5333333333333333,0.78125,0.375,809.4222412109375,456.73333740234375
53,128,0.001,256,MCN,109823488.0,110346245,0.36619866,0.3683663978837745,0.3449631449631449,0.5,0.5615384615384615,0.8660714285714286,0.1338383838383838,196.977783203125,28.155555725097656
54,128,0.001,256,SCARF,110410752.0,110346245,0.47061276,0.4080295233621651,0.3745524745524745,,,,,,
55,128,0.001,256,SUBTAB,110083072.0,110346245,0.2546735,0.3851778803690699,0.340744184595609,,,,,,
56,128,0.0025,128,CLIP,109618561.0,109750405,0.65984565,0.3470212168845054,0.3266409266409266,0.4893048128342246,0.5553113553113553,1.0,0.2194444444444444,798.8666381835938,326.6889038085937
57,128,0.0025,128,CONTROL,,109750405,,,0.3266409266409266,,,,,,
58,128,0.0025,128,GMC,223267456.0,110880901,0.891121,0.2996604738907117,0.3284661284661284,0.4852941176470588,0.3571428571428571,0.3459714627477785,0.0486111111111111,557.6221923828125,30.577777862548828
59,128,0.0025,128,ICEH,111011713.0,111143557,0.5897745,0.2865559340743399,0.3854124573381695,0.5,0.3333333333333333,0.25,0.0833333333333333,890.1333618164062,852.7333374023438
60,128,0.0025,128,MCN,109620096.0,109750405,0.38750866,0.3757574603362842,0.3867321867321867,0.5,0.6666666666666666,0.5864661654135338,0.375,197.15554809570312,50.0
61,128,0.0025,128,SCARF,109766272.0,109750405,0.7259292,0.3587685028794524,0.3266409266409266,,,,,,
62,128,0.0025,128,SUBTAB,109684352.0,109750405,0.31016025,0.3804779870313487,0.3266409266409266,,,,,,
63,128,0.0025,256,CLIP,109820417.0,110346245,0.68805134,0.3413581747139286,0.35005265005265,0.462566844919786,0.4948717948717949,1.0,0.3444444444444444,861.2444458007812,230.9111175537109
64,128,0.0025,256,CONTROL,,110346245,,,0.3793260793260793,,,,,,
65,128,0.0025,256,GMC,223333120.0,111340549,0.3740353,0.3861457145020154,0.3651807651807652,0.5,0.3333333333333333,0.5,0.4430555555555555,811.6889038085938,29.511110305786133
66,128,0.0025,256,ICEH,111077377.0,111603205,0.5941531,0.2800789881974013,0.3266409266409266,0.5,0.3333333333333333,0.25,0.0833333333333333,652.3555297851562,29.511110305786133
67,128,0.0025,256,MCN,109823488.0,110346245,0.42855677,0.3860470810587708,0.3269217269217269,0.4264705882352941,0.6446886446886447,0.986842105263158,0.3277777777777778,374.04443359375,80.46666717529297
68,128,0.0025,256,SCARF,110410752.0,110346245,0.44011435,0.3774572727860247,0.3313443313443313,,,,,,
69,128,0.0025,256,SUBTAB,110083072.0,110346245,0.5456093,0.3722290559480639,0.3276939276939277,,,,,,
70,128,0.005,128,CLIP,109618561.0,109750405,0.75006515,0.3661762536325436,0.3266409266409266,0.4451871657754011,0.5937728937728938,1.0,0.35,740.5777587890625,344.8666687011719
71,128,0.005,128,CONTROL,,109750405,,,0.3628290628290628,,,,,,
72,128,0.005,128,GMC,223267456.0,110880901,0.5939388,0.2999571669437996,0.3295542295542296,0.5,0.3333333333333333,0.1830143540669856,0.0833333333333333,233.7111053466797,35.24444580078125
73,128,0.005,128,ICEH,111011713.0,111143557,0.58763677,0.3323856684152798,0.3857142857142857,0.5,0.3333333333333333,0.25,0.0833333333333333,537.933349609375,852.7333374023438
74,128,0.005,128,MCN,109620096.0,109750405,0.47576252,0.3815537111454403,0.3857142857142857,0.4131016042780749,0.6428571428571429,1.0,0.375,661.8444213867188,253.13333129882807
75,128,0.005,128,SCARF,109766272.0,109750405,0.61904365,0.3904538018508204,0.3733590733590733,,,,,,
76,128,0.005,128,SUBTAB,109684352.0,109750405,0.5544715,0.3815622912583167,0.3266409266409266,,,,,,
77,128,0.005,256,CLIP,109820417.0,110346245,0.48849303,0.334808938114894,0.3729378729378729,0.429144385026738,0.5315018315018315,1.0,0.3999999999999999,861.2444458007812,333.0888977050781
78,128,0.005,256,CONTROL,,110346245,,,0.3266409266409266,,,,,,
79,128,0.005,256,GMC,223333120.0,111340549,0.46782312,0.3827600467768298,0.3284661284661284,0.5,0.3571428571428571,0.5,0.2027777777777778,699.8222045898438,29.13333320617676
80,128,0.005,256,ICEH,111077377.0,111603205,0.5917944,0.3139772105245753,0.3266409266409266,0.5,0.3461538461538462,0.25,0.0833333333333333,652.3555297851562,29.511110305786133
81,128,0.005,256,MCN,109823488.0,110346245,0.3769019,0.3793310174025904,0.3266409266409266,0.5,0.3681318681318681,0.6842105263157895,0.3333333333333333,183.6888885498047,27.08888816833496
82,128,0.005,256,SCARF,110410752.0,110346245,0.7726781,0.3655436595741785,0.3266409266409266,,,,,,
83,128,0.005,256,SUBTAB,110083072.0,110346245,0.52958786,0.3350515076923825,0.3266409266409266,,,,,,
