,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,KWG,KWI,STRM,STRN,SA,SB,Run2,Run3,Run4
178,4096,0.005,64,ICEH,93121.0,130113,0.8330432,0.00027844164,0.00035821882,0.4755604825181965,0.5001595522354482,0.5085254488784722,0.5,0.5,0.5200856625927703,76688.7734375,1388030.375,143216.34375
179,4096,0.005,64,MCN,39808.0,50625,0.20224985,0.000473151,0.0047423015,0.4982958219680946,0.5010843039674336,0.4951398147029431,0.5,0.5076461724820516,0.4930672377506184,165844.109375,167161.375,129617.71875
180,4096,0.005,64,SCARF,54720.0,50625,0.70391303,0.00040423704,0.00056420633,,,,,,,,,
181,4096,0.005,64,SUBTAB,30144.0,50625,0.83330625,0.00029008725,0.0051972433,,,,,,,,,
182,4096,0.005,128,CLIP,51841.0,199553,0.8329708,0.0002729437,0.002206537,0.511882448181805,0.5236107706935401,0.5232346545612776,0.4972482113373693,0.6157458563535911,0.5694679319130082,35903.7421875,383169.53125,19389.73046875
183,4096,0.005,128,CONTROL,,199553,,,0.0023174263,,,,,,,,,
184,4096,0.005,128,GMC,284288.0,232577,0.83493423,0.0002717487,0.00073236896,0.503215693996723,0.4962536306273984,0.4978842943566314,0.4982470087038056,0.5211392442461666,0.4962367536831222,1440003.625,1483646.75,854877.125
185,4096,0.005,128,ICEH,101377.0,249089,0.831744,0.0002762221,0.0006828346,0.5,0.5010333893394242,0.5366715418684913,0.5,0.4872027062959789,0.5242934682273013,162109.046875,3036652.0,3375330.5
186,4096,0.005,128,MCN,104192.0,199553,0.530999,0.00050851307,0.023132345,0.5079933486004347,0.5081102266174571,0.5,0.4981586796850051,0.496891895884421,0.5018831000996935,168513.8125,163474.671875,168659.5
187,4096,0.005,128,SCARF,215936.0,199553,0.8496763,0.00029568546,0.0019188521,,,,,,,,,
188,4096,0.005,128,SUBTAB,117632.0,199553,0.8317653,0.00027047144,0.04797217,,,,,,,,,
189,4096,0.007,32,CLIP,3745.0,13025,0.82574016,0.00028769576,0.0008190338,0.4981469191086736,0.5021289418874645,0.4908784195956526,0.497129306888984,0.5843649363311372,0.5477317874681534,6050.52734375,23899.310546875,52151.29296875
190,4096,0.007,32,CONTROL,,13025,,,0.008206953,,,,,,,,,
191,4096,0.007,32,GMC,271904.0,81761,0.83498317,0.00027533984,0.4453294,0.5,0.4943040739990835,0.4949622750364163,0.5134565862872595,0.4919815640972612,0.4919816859284421,660686.3125,1438394.625,544505.6875
192,4096,0.007,32,ICEH,88993.0,98273,0.8347274,0.0002733735,0.017966567,0.4768732587481949,0.499100113551461,0.5072584478306632,0.500805152979066,0.5730877182615889,0.5211601373555367,4441757.0,3066769.75,162991.984375
193,4096,0.007,32,MCN,16832.0,13025,0.22771405,0.00050471304,0.0049854605,0.4957030889138478,0.5,0.5042588841469484,0.5065941009804521,0.4995908056844033,0.5,330277.40625,347824.0,117435.5078125
194,4096,0.007,32,SCARF,14048.0,13025,0.60809493,0.00034600287,0.00279357,,,,,,,,,
195,4096,0.007,32,SUBTAB,7904.0,13025,0.8336029,0.00032083312,0.0032812585,,,,,,,,,
196,4096,0.007,64,CLIP,13633.0,50625,0.834114,0.00027291646,0.0017647705,0.5093808801435302,0.5169717400133326,0.5036974629552112,0.5014438397303926,0.5005524861878453,0.5096628881586235,10087.345703125,10724.3720703125,2302.996826171875
197,4096,0.007,64,CONTROL,,50625,,,0.004957,,,,,,,,,
198,4096,0.007,64,GMC,276032.0,113601,0.8339231,0.00027458704,0.001517736,0.5206063324435628,0.4932804531638705,0.5161106169606804,0.5087173947016178,0.5447174047921529,0.5007842558062253,222460.953125,149356.75,150256.0625
199,4096,0.007,64,ICEH,93121.0,130113,0.8335174,0.00028020755,0.0035468112,0.5111494814533891,0.5,0.5052474640039064,0.4973365403561697,0.511987768487606,0.5002739726027398,114896.4296875,129871.109375,2150915.25
200,4096,0.007,64,MCN,39808.0,50625,0.1929074,0.000480872,0.013070323,0.5085567483991423,0.508803494401167,0.5057941148406914,0.5092949305937748,0.5,0.5143802385260127,147451.828125,166720.25,168507.65625
201,4096,0.007,64,SCARF,54720.0,50625,0.78901833,0.00034225965,0.0005267495,,,,,,,,,
202,4096,0.007,64,SUBTAB,30144.0,50625,0.8350023,0.00028127455,0.030195137,,,,,,,,,
203,4096,0.007,128,CLIP,51841.0,199553,0.8320549,0.00026671076,0.0011240847,0.5595739068706818,0.5187232624199131,0.5442358837502168,0.5023135408385822,0.6033828699737052,0.5638991249123066,13401.1083984375,340382.71875,32945.7421875
204,4096,0.007,128,CONTROL,,199553,,,0.0017403912,,,,,,,,,
205,4096,0.007,128,GMC,284288.0,232577,0.83363456,0.00027189113,0.0003452221,0.4919452669554774,0.496437752131014,0.4988043397666106,0.4992254224505187,0.5271826158891482,0.5046420263634014,209081.6875,280217.28125,154618.328125
206,4096,0.007,128,ICEH,101377.0,249089,0.83309203,0.00027446952,0.03933641,0.5362156064783076,0.495300165413338,0.5224608356653262,0.5034346399233576,0.5,0.5148602444337776,2290154.25,158369.734375,3914377.75
