,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,V1,V6,V10,V12,V13,V14,V15
126,1024,0.002,32,CLIP,7841.0,15106,0.827083,0.736318407960199,0.7299458168925488,737.5882568359375,7123871.0,205.2941131591797,1359347.25,15.5,76835.4140625,5.705882549285889
127,1024,0.002,32,CONTROL,,15106,,,0.7219756104534797,,,,,,,
128,1024,0.002,32,GMC,370208.0,145282,0.64401805,0.7660047463830273,0.7806799336650083,967.058837890625,2459052.25,89.5882339477539,216375.53125,7.558823585510254,28521.646484375,1.4117647409439087
129,1024,0.002,32,ICEH,154529.0,161794,0.80026513,0.7412756619202836,0.7765983301881398,845.5,8206858.5,228.7058868408203,854147.1875,9.352941513061523,569085.875,9.411765098571776
130,1024,0.002,32,MCN,11104.0,15106,0.8208189,0.7475553268142048,0.7531273231543432,475.058837890625,3335599.5,147.0294189453125,250103.4375,9.352941513061523,29302.912109375,2.470588207244873
131,1024,0.002,32,SCARF,16096.0,15106,0.82761365,0.7633134614284898,0.7738498598959227,,,,,,,
132,1024,0.002,32,SUBTAB,9952.0,15106,0.817441,0.7482129581975181,0.7558936638645851,,,,,,,
133,1024,0.002,64,CLIP,30017.0,58882,0.82754993,0.7445066334991708,0.7713265568708183,881.7647094726562,7333598.5,205.4411773681641,1392350.875,6.558823585510254,32855.8515625,4.529411792755127
134,1024,0.002,64,CONTROL,,58882,,,0.770475924972837,,,,,,,
135,1024,0.002,64,GMC,374336.0,171010,0.6956201,0.7688282724309488,0.7915987590781723,1399.38232421875,2858040.0,85.4117660522461,175108.125,9.20588207244873,28521.646484375,2.8235294818878174
136,1024,0.002,64,ICEH,158657.0,187522,0.65771115,0.7510364842454395,0.7881426202321724,1110.88232421875,8334980.5,224.08824157714844,1662496.375,8.823529243469238,25738.205078125,56.47058868408203
137,1024,0.002,64,MCN,36544.0,58882,0.76403487,0.7579165951849945,0.7685280494081317,512.941162109375,3335599.5,238.7058868408203,301843.3125,9.441176414489746,29302.912109375,2.470588207244873
138,1024,0.002,64,SCARF,62912.0,58882,0.81426305,0.756301109395551,0.7639460742265682,,,,,,,
139,1024,0.002,64,SUBTAB,38336.0,58882,0.8241778,0.751086521415909,0.7634314061874535,,,,,,,
140,1024,0.002,128,CLIP,117377.0,232450,0.8270912,0.7368688168353634,0.7542102704866472,737.88232421875,6946702.5,199.9705810546875,1440325.25,13.5,18237.470703125,4.529411792755127
141,1024,0.002,128,CONTROL,,232450,,,0.7733173214387831,,,,,,,
142,1024,0.002,128,GMC,382592.0,265474,0.7486744,0.7632562760908104,0.7825456053067994,1130.7646484375,2759081.5,100.5882339477539,158594.171875,7.441176414489746,28521.646484375,2.382352828979492
143,1024,0.002,128,ICEH,166913.0,281986,0.66671646,0.7292059815863212,0.7757405501229484,1203.6470947265625,8208388.5,239.0294189453125,1455298.0,9.441176414489746,569085.875,9.411765098571776
144,1024,0.002,128,MCN,130432.0,232450,0.81444544,0.730414021844799,0.755718533767942,506.23529052734375,3335599.5,214.4411773681641,402337.375,9.441176414489746,29302.912109375,2.3235294818878174
145,1024,0.002,128,SCARF,248704.0,232450,0.84144247,0.7627559043861154,0.7442743180648481,,,,,,,
146,1024,0.002,128,SUBTAB,150400.0,232450,0.82505697,0.7455645622462401,0.7312289129067306,,,,,,,
147,1024,0.003,32,CLIP,7841.0,15106,0.82839143,0.7312718019099902,0.7570087779493337,776.4117431640625,6030036.0,215.7058868408203,1359586.5,12.764705657958984,91412.3203125,4.529411792755127
148,1024,0.003,32,CONTROL,,15106,,,0.7639139074741237,,,,,,,
149,1024,0.003,32,GMC,370208.0,145282,0.69456124,0.762198347343741,0.7685780865786013,1134.4705810546875,2283360.75,85.55882263183594,171186.4375,6.970588207244873,28521.646484375,2.0
150,1024,0.003,32,ICEH,154529.0,161794,0.8078631,0.7308214673757649,0.7660619317207069,1257.2940673828125,6544333.0,250.61764526367188,788190.25,11.088234901428224,24538.087890625,9.411765098571776
151,1024,0.003,32,MCN,11104.0,15106,0.8158663,0.7459219706067364,0.7761658660719392,420.73529052734375,3335599.5,254.76470947265625,301843.3125,15.79411792755127,29302.912109375,2.941176414489746
152,1024,0.003,32,SCARF,16096.0,15106,0.8364253,0.7572410933836564,0.7670197861268371,,,,,,,
153,1024,0.003,32,SUBTAB,9952.0,15106,0.8185087,0.7492959055298221,0.7599645450906387,,,,,,,
154,1024,0.003,64,CLIP,30017.0,58882,0.82710063,0.7454394693200663,0.7638388517184194,737.5882568359375,6132408.0,200.5294189453125,1319621.375,12.470588684082031,32814.3828125,4.529411792755127
155,1024,0.003,64,CONTROL,,58882,,,0.7668375078629839,,,,,,,
156,1024,0.003,64,GMC,374336.0,171010,0.6942873,0.7706939440727397,0.7804297478126608,999.4705810546876,2763809.5,91.8235321044922,196798.328125,9.20588207244873,29302.912109375,2.382352828979492
157,1024,0.003,64,ICEH,158657.0,187522,0.8252221,0.7566334991708126,0.7776812775204438,512.941162109375,8334980.5,249.6470642089844,799666.5,8.588234901428223,25738.205078125,9.411765098571776
158,1024,0.003,64,MCN,36544.0,58882,0.80814004,0.7427910733687882,0.7703186652942186,512.941162109375,3335599.5,240.2941131591797,301843.3125,9.441176414489746,29302.912109375,2.7058823108673096
159,1024,0.003,64,SCARF,62912.0,58882,0.7075765,0.7468226396751872,0.7519621718991251,,,,,,,
160,1024,0.003,64,SUBTAB,38336.0,58882,0.8227529,0.7549679762108995,0.7771737576485389,,,,,,,
161,1024,0.003,128,CLIP,117377.0,232450,0.8262628,0.742716017613084,0.7637066106250358,652.5294189453125,6586697.5,212.88235473632807,1440618.125,15.852941513061523,18237.470703125,5.705882549285889
162,1024,0.003,128,CONTROL,,232450,,,0.7771987762337736,,,,,,,
163,1024,0.003,128,GMC,382592.0,265474,0.7772452,0.7583740778864299,0.7884428432549895,809.441162109375,2316088.5,118.6764678955078,163961.0,7.441176414489746,28521.646484375,2.382352828979492
164,1024,0.003,128,ICEH,166913.0,281986,0.81703967,0.7475303082289702,0.775007862983931,866.6764526367188,6786448.5,250.61764526367188,799166.125,10.117647171020508,25738.205078125,9.411765098571776
165,1024,0.003,128,MCN,130432.0,232450,0.7839771,0.7456396180019442,0.7611654371819065,502.941162109375,3298410.5,206.3529357910156,1175708.875,6.911764621734619,29302.912109375,2.8235294818878174
166,1024,0.003,128,SCARF,248704.0,232450,0.841696,0.7522945616743867,0.7701185166123405,,,,,,,
167,1024,0.003,128,SUBTAB,150400.0,232450,0.8226609,0.7502287413507176,0.7633313318465146,,,,,,,
168,1024,0.005,32,CLIP,7841.0,15106,0.8271299,0.741833218962658,0.7489456453365357,854.058837890625,5223665.0,213.88235473632807,985700.6875,8.647058486938477,91412.3203125,5.705882549285889
169,1024,0.005,32,CONTROL,,15106,,,0.7651719849030709,,,,,,,
170,1024,0.005,32,GMC,370208.0,145282,0.79572463,0.7723844856178876,0.7617658832275405,942.941162109375,2492244.5,106.1764678955078,176922.265625,6.794117450714111,27752.265625,1.4117647409439087
171,1024,0.005,32,ICEH,154529.0,161794,0.7916667,0.7345456624921369,0.7810373420255046,1656.2940673828125,6840830.5,250.61764526367188,1311926.625,26.705883026123047,569085.875,9.411765098571776
172,1024,0.005,32,MCN,11104.0,15106,0.7834336,0.7498534625721965,0.7683779378967233,570.7352905273438,3301774.25,197.4117584228516,271879.3125,9.441176414489746,29302.912109375,2.8235294818878174
