,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,isns,northing,easting,resistivity
129,1024,0.0031622776601683,32,ICEH,87713.0,91873,0.45325388499999997,0.00013621032121585,2.2944906049815303e-05,0.5410024729087506,0.09831491485238066,0.16255937516689295,0.22792942821979514
130,1024,0.0031622776601683,32,MCN,4448.0,7585,0.74830282,0.0001756847123033,1.7693538666207662e-05,0.5968797090737804,0.17640197277069092,0.15026684850454325,0.12559162452816955
131,1024,0.0031622776601683,32,SCARF,145216.0,137953,0.99187425,0.0002389176515862,1.6928430341067317e-05,,,,
132,1024,0.0031622776601683,32,SUBTAB,56800.0,56833,0.43355646000000003,0.00063111276540435,0.00186002260306845,,,,
133,1024,0.0031622776601683,64,CLIP,12993.0,29505,0.815426715,4.0235311644209716e-05,1.4549060779245073e-05,0.6929761437309436,0.1216852888464927,0.1117360703647136,0.0400120811536908
134,1024,0.0031622776601683,64,CONTROL,,29505,,,2.0383137780299652e-05,,,,
135,1024,0.0031622776601683,64,GMC,179200.0,79489,0.570800585,9.397752364746302e-05,1.3649384072777567e-05,0.5032426709019919,0.11710794270038599,0.08179993927478785,0.023127214051783
136,1024,0.0031622776601683,64,ICEH,91841.0,108353,0.424802825,0.00012042057642245823,1.6462458916065992e-05,0.5,0.0908175110816955,0.12228105962276455,0.1430135816335677
137,1024,0.0031622776601683,64,MCN,15040.0,29505,0.669883235,0.00011100381016145,1.582729692017845e-05,0.6144402119559811,0.12174504995346061,0.15747756883502,0.0770221799612045
138,1024,0.0031622776601683,64,SCARF,157568.0,145217,0.79386158,0.00053599527745965,2.3099096779332632e-05,,,,
139,1024,0.0031622776601683,64,SUBTAB,67136.0,67201,0.49273528499999997,0.00052175921155135,0.03116376462276085,,,,
140,1024,0.0031622776601683,128,CLIP,50561.0,116353,0.731281325,6.972218398004205e-05,1.7047731034835413e-05,0.6514903748071095,0.12545034661889065,0.10578544065356249,0.0407248102128505
141,1024,0.0031622776601683,128,CONTROL,,116353,,,2.391980797256064e-05,,,,
142,1024,0.0031622776601683,128,GMC,199808.0,149377,0.6108883,3.481353087408913e-05,1.3205210507294162e-05,0.5009501948831074,0.1060677655041217,0.07986023277044291,0.0223191455006599
143,1024,0.0031622776601683,128,ICEH,100097.0,165889,0.40183456500000003,0.00011737678505589999,4.032423930766459e-05,0.5,0.1171762794256209,0.1917390227317809,0.06163057126104825
144,1024,0.0031622776601683,128,MCN,54656.0,116353,0.692673415,0.0001074209976649869,1.7944631508725964e-05,0.6572021966413708,0.13094647973775858,0.10652348771691315,0.040985777974128654
145,1024,0.0031622776601683,128,SCARF,182272.0,165889,0.9891799800000001,0.00017252464203917908,2.7765418963098998e-05,,,,
146,1024,0.0031622776601683,128,SUBTAB,100096.0,100225,0.413013775,0.00042747719271569995,0.0302294807333964,,,,
147,1024,0.0056234132519034,32,CLIP,3425.0,7585,0.792957095,4.575221055347252e-05,1.9859771782648512e-05,0.6261941197379023,0.12223367765545835,0.0961189121007919,0.042087996378540896
148,1024,0.0056234132519034,32,CONTROL,,7585,,,1.6871112165972157e-05,,,,
149,1024,0.0056234132519034,32,GMC,171968.0,59905,0.370402395,0.000248239321081151,1.6515105016878562e-05,0.5,0.1054374277591705,0.07554109394550321,0.0249940063804387
150,1024,0.0056234132519034,32,ICEH,87713.0,91873,0.50724061,0.0028988029225728504,1.961420593943268e-05,0.5279597644100325,0.15844657272100446,0.1090187579393386,0.21389833837747574
151,1024,0.0056234132519034,32,MCN,4448.0,7585,0.794388525,9.816276360650835e-05,2.0685603885794546e-05,0.5520873867077167,0.18977975100278843,0.1607308126986027,0.07617210969328875
152,1024,0.0056234132519034,32,SCARF,145216.0,137953,0.9904980050000001,0.0007825436186976266,1.9010520190931494e-05,,,,
153,1024,0.0056234132519034,32,SUBTAB,56800.0,56833,0.5047908750000001,0.054417928680777494,0.03239975764881815,,,,
154,1024,0.0056234132519034,64,CLIP,12993.0,29505,0.6937,8.446562060267354e-05,1.4270217434386243e-05,0.6334264862914503,0.1349136792123317,0.10560716688632955,0.0542208664119243
155,1024,0.0056234132519034,64,CONTROL,,29505,,,1.7875926459964376e-05,,,,
156,1024,0.0056234132519034,64,GMC,179200.0,79489,0.49698762500000004,9.008820416056394e-05,1.8958162854687344e-05,0.5060765758096148,0.1059019826352596,0.0769567154347896,0.02459352184087035
157,1024,0.0056234132519034,64,ICEH,91841.0,108353,0.37722799,0.00012517652976381494,0.00030713452724736125,0.5372830388350238,0.10423751547932615,0.1674372181296348,0.0284193651750683
158,1024,0.0056234132519034,64,MCN,15040.0,29505,0.70557495,8.37046864034865e-05,1.9074627743975468e-05,0.6593345014217527,0.15787149220705027,0.13111031427979464,0.070228386670351
159,1024,0.0056234132519034,64,SCARF,157568.0,145217,0.945766015,0.00090829090913755,0.00039982841553863423,,,,
