,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
114,1024,0.001,64,GMC,574016.0,254401,0.52676,0.67547005,0.5344717,1.4645768404006958,0.0187417306005954,0.0270858462899923,19.60885429382324,0.0013385154306888,309.2530822753906,2641.968505859375,4.879436892224476e-05,0.0308455415070056,0.0175172314047813,8.000015258789062
115,1024,0.001,64,ICEH,225729.0,270913,0.35939053,0.5462769,0.54713076,6.577734470367432,0.068414069712162,0.0440172329545021,82.62510681152344,0.0148694813251495,8061.26220703125,21240.375,3.9773687603883445e-05,0.1138075590133667,0.1187544837594032,6.532044887542725
116,1024,0.001,64,MCN,53696.0,92353,0.49180907,0.635,0.5410564,9.65613079071045,0.0585315413773059,0.0289566162973642,23.065093994140625,0.0032435737084597,809.875,51602.234375,7.700688729528338e-05,0.1992552727460861,0.0351127684116363,10.927370071411133
117,1024,0.001,64,SCARF,96448.0,92353,0.5119473,0.62793845,0.60921425,,,,,,,,,,,
118,1024,0.001,64,SUBTAB,63680.0,92353,0.49337092,0.5909576,0.56208766,,,,,,,,,,,
119,1024,0.001,128,CLIP,184449.0,364929,0.4594933,0.59679997,0.54142284,5.591226577758789,0.0199288856238126,0.0776613876223564,35.584896087646484,0.0028028464876115,6479.5498046875,36144.3046875,4.244561569066718e-05,0.0870377197861671,0.0489000007510185,1.1901098489761353
120,1024,0.001,128,CONTROL,,364929,,,0.5443907,,,,,,,,,,,
121,1024,0.001,128,GMC,582272.0,397953,0.5260281,0.7379692,0.5664963,1.5081769227981567,0.0186511930078268,0.0289672315120697,19.352521896362305,0.0013463029172271,347.6553955078125,2712.876220703125,5.032535409554839e-05,0.0337370820343494,0.0176381543278694,3.313058853149414
122,1024,0.001,128,ICEH,233985.0,414465,0.4129124,0.53136754,0.5576879,10.129003524780272,0.0749936178326606,0.0259923078119754,40.28391647338867,0.0418743081390857,289.41729736328125,30624.41015625,5.580027573159896e-05,0.0776510909199714,0.1838474124670028,8.243926048278809
123,1024,0.001,128,MCN,197504.0,364929,0.49644166,0.6345727,0.5330663,2.580284357070923,0.0598486140370368,0.2068003267049789,18.54351043701172,0.0032259984873235,288.3934631347656,34431.54296875,5.586120823863894e-05,0.1182042956352233,0.0858580023050308,2.0857574939727783
124,1024,0.001,128,SCARF,381312.0,364929,0.4707829,0.632094,0.5441517,,,,,,,,,,,
125,1024,0.001,128,SUBTAB,250240.0,364929,0.5050153,0.6016904,0.5471302,,,,,,,,,,,
126,1024,0.002,32,CLIP,12321.0,23649,0.48063514,0.6018803,0.52535015,4.947207927703857,0.0346889272332191,0.0629356950521469,36.22495269775391,0.0060759526677429,267.9457702636719,22496.3515625,4.220869595883414e-05,0.0517212450504303,0.0455786138772964,0.9966039061546326
127,1024,0.002,32,CONTROL,,23649,,,0.5334421,,,,,,,,,,,
128,1024,0.002,32,GMC,569888.0,216417,0.5248084,0.7126923,0.5650256,1.5652884244918823,0.0182935018092393,0.0267409216612577,19.486486434936523,0.0013972722226753,313.9853820800781,2914.771484375,4.849730248679407e-05,0.0300392322242259,0.0174375381320714,5.285264492034912
129,1024,0.002,32,ICEH,221601.0,232929,0.54885024,0.5516429,0.5676847,6.79077672958374,0.0313221141695976,0.0322549194097518,43.974857330322266,0.0013109983410686,303.24615478515625,101530.984375,7.295639079529792e-05,0.1013001874089241,0.1492963135242462,8.498456001281738
130,1024,0.002,32,MCN,15584.0,23649,0.49579486,0.6277551,0.5398224,9.626591682434082,0.0782764628529548,0.0953007712960243,22.801137924194336,0.0032435737084597,391.8411560058594,15082.6181640625,7.801162428222597e-05,0.617822527885437,0.0548438429832458,5.922417640686035
131,1024,0.002,32,SCARF,24672.0,23649,0.49756995,0.63086414,0.55395585,,,,,,,,,,,
132,1024,0.002,32,SUBTAB,16480.0,23649,0.48505086,0.6086154,0.5408769,,,,,,,,,,,
133,1024,0.002,64,CLIP,47169.0,92353,0.45716026,0.58766097,0.5226408,4.42146110534668,0.0202628839761018,0.0287927724421024,51.964393615722656,0.002918979851529,630.2376708984375,32679.673828125,4.340520172263496e-05,0.1102014258503913,0.0475106164813041,2.190192699432373
134,1024,0.002,64,CONTROL,,92353,,,0.5371934,,,,,,,,,,,
135,1024,0.002,64,GMC,574016.0,254401,0.56125444,0.6612915,0.5564688,5.9338459968566895,0.0201459620147943,0.0344592295587062,21.180700302124023,0.0014173293020576,387.4111633300781,48436.46875,7.916954928077757e-05,0.2433527261018753,0.0178526155650615,8.535632133483887
136,1024,0.002,64,ICEH,225729.0,270913,0.46039787,0.54528844,0.5197602,8.845868110656738,0.0601472295820713,0.0226401537656784,41.741455078125,0.0014688677620142,268.2322998046875,44345.7734375,5.565998799283989e-05,0.0852212458848953,0.0730321556329727,11.135729789733888
