,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Liberal,Unconstitutional,Precedent_alteration,Unanimous,Lower_court_disagreement,Actions_taken,Year_of_decision
31,1024,0.0002,64,ICEH,76097.0,104897,0.7799055,0.0075357137,0.29783395,0.5792645805430415,0.7520107238605898,0.6071428571428572,0.5,0.5,24.33251190185547,478.4901428222656
32,1024,0.0002,64,MCN,15744.0,38017,0.38550198,0.009672679,0.46885893,0.5,0.5,0.5,0.4935736803815375,0.5,0.2438423633575439,334.6970520019531
33,1024,0.0002,64,SCARF,42112.0,38017,0.89608264,0.008247167,0.3028331,,,,,,,
34,1024,0.0002,64,SUBTAB,17536.0,38017,0.4515992,0.0086372,0.33066505,,,,,,,
35,1024,0.0002,128,CLIP,34817.0,149761,0.48301923,0.007639354,0.59994847,0.5,0.5,0.350765306122449,0.512421523455393,0.5,1.6798030138015747,481.1724243164063
36,1024,0.0002,128,CONTROL,,149761,,,1.4042219,,,,,,,
37,1024,0.0002,128,GMC,217472.0,182785,0.4020378,0.010365395,0.301959,0.5230366492146598,0.5,0.5,0.5,0.5,0.2438423633575439,164.1059112548828
38,1024,0.0002,128,ICEH,84353.0,199297,0.774037,0.008828817,0.29769334,0.5,0.5,0.5,0.5042437959744565,0.5,1.9384236335754397,478.4901428222656
39,1024,0.0002,128,MCN,47872.0,149761,0.4727359,0.007546052,0.32612836,0.5,0.5,0.5,0.4797914477406838,0.5,0.2438423633575439,478.4901428222656
40,1024,0.0002,128,SCARF,166144.0,149761,0.8372078,0.012748521,0.98318654,,,,,,,
41,1024,0.0002,128,SUBTAB,67840.0,149761,0.47549772,0.0077720564,0.2955534,,,,,,,
42,1024,0.0003,32,CLIP,2561.0,9793,0.48179686,0.009152079,0.3082131,0.5651162790697675,0.6998537655374116,0.4387755102040816,0.4869856923450004,0.4773462783171521,3.0172414779663086,366.9778442382813
43,1024,0.0003,32,CONTROL,,9793,,,0.30143765,,,,,,,
44,1024,0.0003,32,GMC,205088.0,62689,0.5561378,0.009219396,0.35451037,0.5560087665895532,0.5,0.5,0.5034489262522566,0.5,0.2438423633575439,298.6847229003906
45,1024,0.0003,32,ICEH,71969.0,79201,0.71080315,0.010069335,0.30051532,0.5,0.5826224713624177,0.6683673469387754,0.5,0.5,24.33251190185547,478.4901428222656
46,1024,0.0003,32,MCN,5824.0,9793,0.40541226,0.007636768,6.7512407,0.5,0.5656836461126006,0.5,0.5,0.5215360491108665,1.0615763664245603,334.6970520019531
47,1024,0.0003,32,SCARF,10816.0,9793,0.9196389,0.007467302,0.31100363,,,,,,,
48,1024,0.0003,32,SUBTAB,4672.0,9793,0.4824294,0.008671043,0.30890954,,,,,,,
49,1024,0.0003,64,CLIP,9217.0,38017,0.49444985,0.0071416395,1.5354843,0.5554486789236577,0.5,0.5,0.5,0.5195342474894071,15.536945343017578,392.7857055664063
50,1024,0.0003,64,CONTROL,,38017,,,1.0215245,,,,,,,
51,1024,0.0003,64,GMC,209216.0,88385,0.49844024,0.012507773,0.30063066,0.5350785340314137,0.5,0.5,0.5,0.5,0.2438423633575439,161.16995239257812
52,1024,0.0003,64,ICEH,76097.0,104897,0.68514156,0.0101418095,0.2948223,0.5,0.5512226825899749,0.6071428571428572,0.5,0.5,3.879310369491577,478.4901428222656
53,1024,0.0003,64,MCN,15744.0,38017,0.41264817,0.008793083,0.31958207,0.5,0.5,0.5,0.4868913857677903,0.4957795349147565,0.2438423633575439,478.4901428222656
54,1024,0.0003,64,SCARF,42112.0,38017,0.8460169,0.017217794,0.29525244,,,,,,,
55,1024,0.0003,64,SUBTAB,17536.0,38017,0.44721594,0.008500739,1.412875,,,,,,,
56,1024,0.0003,128,CLIP,34817.0,149761,0.47752476,0.0073626405,5.1516905,0.5592231827590406,0.6957104557640751,0.5357142857142857,0.5010643170856574,0.4844526740733326,14.399014472961426,238.9359588623047
57,1024,0.0003,128,CONTROL,,149761,,,0.44587475,,,,,,,
58,1024,0.0003,128,GMC,217472.0,182785,0.3872367,0.008096183,0.29988205,0.5207232436381346,0.5,0.5,0.5,0.5,0.2438423633575439,118.4113311767578
59,1024,0.0003,128,ICEH,84353.0,199297,0.70363295,0.010003879,0.29690993,0.5,0.5,0.5,0.5,0.5,19.29556655883789,478.4901428222656
60,1024,0.0003,128,MCN,47872.0,149761,0.46523294,0.007959449,0.9020486,0.5,0.5,0.5,0.4940317408994153,0.510159143228906,0.2438423633575439,334.6970520019531
61,1024,0.0003,128,SCARF,166144.0,149761,0.8279595,0.011138731,0.40267238,,,,,,,
62,1024,0.0003,128,SUBTAB,67840.0,149761,0.46209916,0.008065708,0.29507568,,,,,,,
63,1024,0.0005,32,CLIP,2561.0,9793,0.46866718,0.007887292,0.3047485,0.4647753561427006,0.4383378016085791,0.3979591836734694,0.469768005820063,0.4949954959463517,0.7266010046005249,357.86700439453125
64,1024,0.0005,32,CONTROL,,9793,,,0.3133129,,,,,,,
65,1024,0.0005,32,GMC,205088.0,62689,0.52472013,0.009782451,0.6463584,0.5303786679654207,0.5,0.5,0.4961064855980384,0.5,0.2438423633575439,180.5615692138672
66,1024,0.0005,32,ICEH,71969.0,79201,0.4324627,0.009765122,0.29863453,0.5,0.5,0.5,0.5,0.5,0.2438423633575439,478.4901428222656
