,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,day,date,period,nswprice,nswdemand,vicprice,vicdemand,transfer
67,1024,0.0005,32,MCN,11328.0,16354,0.45551878,0.7819832906605424,0.79883288902234,0.2207216408791113,0.0933733582496643,0.1614890396595001,0.0043567731045186,0.0470637641847133,0.000107672640297,0.0323427990078926,0.0495581738650798
68,1024,0.0005,32,SCARF,17344.0,16354,0.42193723,0.7563098247507598,0.774096736714966,,,,,,,,
69,1024,0.0005,32,SUBTAB,12224.0,16354,0.8000012,0.7923165982955229,0.7655360744007889,,,,,,,,
70,1024,0.0005,64,CLIP,30465.0,63426,0.8199421,0.803516075672181,0.7927728116838237,0.2436317698257719,0.0837507918477058,0.1394196897745132,0.0021566373761743,0.0144558688625693,1.457196731280419e-06,0.0041029416024684,0.0097350506111979
71,1024,0.0005,64,CONTROL,,63426,,,0.7830770937056619,,,,,,,,
72,1024,0.0005,64,GMC,392512.0,176002,0.24771596,0.7934554410851737,0.8038032209503791,0.2096090222261264,0.0813133716583252,0.1346325576305389,0.0008235662826336,0.0163154974579811,3.231757773392019e-06,0.007073413580656,0.0134443305432796
73,1024,0.0005,64,ICEH,159553.0,192514,0.2970163,0.8303494840717551,0.8203801462642034,0.2496469652025967,0.0732581168413162,0.1583021283149719,0.0007179259555414,0.0057007502764463,9.823980917644803e-07,0.0062889386899769,0.0233466010540723
74,1024,0.0005,64,MCN,36992.0,63426,0.50256944,0.7841621052090562,0.7887080085534939,0.2074931833835064,0.098101332783699,0.161262109875679,0.0068566971458494,0.0306835863739252,8.856514614308253e-05,0.0135287726297974,0.0379431061446666
75,1024,0.0005,64,SCARF,67456.0,63426,0.3983386,0.7662360163766134,0.7841199058087744,,,,,,,,
76,1024,0.0005,64,SUBTAB,46976.0,63426,0.7127552,0.7913909165790893,0.7707406671021861,,,,,,,,
77,1024,0.0005,128,CLIP,118273.0,249730,0.8142657,0.8049411169586135,0.8135181450658486,0.2409395772227986,0.0767889469861984,0.1468179374933242,0.0022775933612138,0.0065645594149827,1.5331198710555327e-06,0.0026379711925983,0.0088087162002921
78,1024,0.0005,128,CONTROL,,249730,,,0.8022601024958511,,,,,,,,
79,1024,0.0005,128,GMC,400768.0,282754,0.256842,0.793684967951449,0.8201314132606206,0.2215369815639543,0.0777280777692794,0.1268481016159057,0.0009631523862481,0.0151423867791891,5.430743385659298e-06,0.0078786900267004,0.0131641943007707
80,1024,0.0005,128,ICEH,167809.0,299266,0.424045,0.8298674370762308,0.8139608330053412,0.2265996817080408,0.0822528600692749,0.1756975203752517,0.0013316080439835,0.0063362242653965,8.455755846625834e-07,0.0046610673889517,0.0708601325750351
81,1024,0.0005,128,MCN,131328.0,249730,0.49110708,0.7938194109126027,0.8081205442099583,0.220781909944719,0.0892202630639076,0.1743074059486389,0.0072418604977428,0.0200959257781505,0.0001671217032708,0.009454065002501,0.0247481111437082
82,1024,0.0005,128,SCARF,265984.0,249730,0.5101211,0.7818853664111709,0.7877055022878297,,,,,,,,
83,1024,0.0005,128,SUBTAB,184064.0,249730,0.7430872,0.7842206704023956,0.8028775392339456,,,,,,,,
84,1024,0.0007,32,CLIP,8065.0,16354,0.7711636,0.7904844409999635,0.7715473248691075,0.2135430033928341,0.0964830741286277,0.1946727782487869,0.0009215677855536,0.0073509961366653,2.0458244307519635e-06,0.0037131684366613,0.0145830148831009
85,1024,0.0007,32,CONTROL,,16354,,,0.7742321264575363,,,,,,,,
86,1024,0.0007,32,GMC,388384.0,147202,0.23792617,0.797443419666273,0.8070969382441533,0.2035651214382815,0.0742482021450996,0.1269465982913971,0.0007306938059628,0.0125580225139856,3.088568973907968e-06,0.007533511146903,0.0123393908143043
87,1024,0.0007,32,ICEH,155425.0,163714,0.41232476,0.8252226627010051,0.8059782483732267,0.2183342972816657,0.0784074440598487,0.1373574882745742,0.0005444230628199,0.0060484451241791,7.626398428328685e-07,0.0035122965928167,0.0094358781352639
88,1024,0.0007,32,MCN,11328.0,16354,0.39412692,0.7946865274356967,0.7841976771394217,0.2186970318216896,0.1033165156841278,0.1522998064756393,0.0062968349084258,0.040664467960596,0.0001220019985339,0.0353904664516449,0.0505432151257991
89,1024,0.0007,32,SCARF,17344.0,16354,0.47950187,0.7339291293533348,0.7777764703177263,,,,,,,,
90,1024,0.0007,32,SUBTAB,12224.0,16354,0.7652495,0.7904085632321494,0.7699714748284635,,,,,,,,
91,1024,0.0007,64,CLIP,30465.0,63426,0.8117407,0.8057515618512011,0.7986562466609048,0.2038129697078283,0.0840416178107261,0.1506844758987426,0.0014319217298179,0.007972739636898,1.2359888614810188e-06,0.0030138611327856,0.0108184199780225
92,1024,0.0007,64,CONTROL,,63426,,,0.7716452491184789,,,,,,,,
93,1024,0.0007,64,GMC,392512.0,176002,0.25027907,0.7980214973483357,0.8122870587153258,0.1950509424123741,0.07733666151762,0.1276833862066269,0.0007341819582507,0.0152621930465102,3.4277225040568737e-06,0.008215413428843,0.0124358814209699
94,1024,0.0007,64,ICEH,159553.0,192514,0.42941448,0.8223121213719674,0.8221518448035903,0.1945355721075068,0.0727930963039398,0.1847350746393203,0.0008639561128802,0.0058543216437101,4.514248530540499e-07,0.0047611128538846,0.0121609317138791
95,1024,0.0007,64,MCN,36992.0,63426,0.5579999,0.7701097049152834,0.7934497603966744,0.2050814491651077,0.0974217653274536,0.155311718583107,0.0054845600388944,0.0339873097836971,0.0001794908457668,0.0285104010254144,0.0435329154133796
96,1024,0.0007,64,SCARF,67456.0,63426,0.4822399,0.7665260019990614,0.7949170010833884,,,,,,,,
97,1024,0.0007,64,SUBTAB,46976.0,63426,0.7510474,0.7914878940470442,0.7977670836562534,,,,,,,,
98,1024,0.0007,128,CLIP,118273.0,249730,0.80323684,0.8059244170869699,0.8125348449374921,0.2540016229700233,0.0860875248908996,0.1447119861841201,0.0013042317004874,0.0077080172486603,1.272498934667965e-06,0.0032161909621208,0.0099488962441682
99,1024,0.0007,128,CONTROL,,249730,,,0.7996001877332295,,,,,,,,
100,1024,0.0007,128,GMC,400768.0,282754,0.24510215,0.7995636690214474,0.807523260390588,0.1999602674129212,0.0851378962397575,0.1689620018005371,0.0008042979170568,0.0127838691696524,3.043887318199268e-06,0.0072798421606421,0.0119700506329536
